time,Temp (C),average humidity %,average wind speed
2013-12-25,1.075,69.375,41.78333333
2013-12-26,-1.2,60.125,39.82916667
2013-12-27,-0.616666667,54.91666667,15.25833333
2013-12-28,2.066666667,55.16666667,37.21666667
2013-12-29,4.8875,58.16666667,39.175
2013-12-30,5.3375,56.70833333,36.84583333
2013-12-31,6.254166667,62.625,38.96666667
2014-01-01,5.195833333,63.75,25.89583333
2014-01-02,5.845833333,74.41666667,35.55833333
2014-01-03,1.1875,51.41666667,24.10833333
2014-01-04,3.354166667,63.79166667,18.17916667
2014-01-05,3.270833333,72.0,15.85416667
2014-01-06,4.8625,79.625,17.1875
2014-01-07,-0.608333333,62.41666667,43.83333333
2014-01-08,-3.220833333,52.25,30.19166667
2014-01-09,0.545833333,46.41666667,30.125
2014-01-10,2.354166667,54.54166667,26.17083333
2014-01-11,0.154166667,60.25,37.55
2014-01-12,-2.895833333,61.91666667,20.24166667
2014-01-13,1.229166667,54.29166667,11.27083333
2014-01-14,1.9375,61.20833333,20.17083333
2014-01-15,3.491666667,65.5,17.82083333
2014-01-16,1.320833333,76.79166667,20.42916667
2014-01-17,0.3125,65.91666667,30.25416667
2014-01-18,0.195833333,59.25,21.79583333
2014-01-19,1.270833333,66.625,38.52083333
2014-01-20,-2.991666667,61.16666667,41.95
2014-01-21,1.1,55.58333333,28.2875
2014-01-22,4.35,65.91666667,34.93333333
2014-01-23,5.366666667,77.20833333,29.3375
2014-01-24,2.470833333,73.16666667,39.75833333
2014-01-25,-2.033333333,47.125,29.16666667
2014-01-26,2.845833333,66.45833333,38.80416667
2014-01-27,0.408333333,55.16666667,33.92916667
2014-01-28,1.616666667,64.875,31.33333333
2014-01-29,3.958333333,75.625,32.25
2014-01-30,2.283333333,59.66666667,29.45833333
2014-01-31,4.154166667,85.95833333,37.6875
2014-02-01,3.879166667,84.875,23.725
2014-02-02,-1.783333333,44.79166667,42.82916667
2014-02-03,-3.308333333,46.66666667,17.98333333
2014-02-04,-2.408333333,45.91666667,16.3
2014-02-05,-0.65,55.29166667,19.5625
2014-02-06,-1.379166667,53.08333333,28.5875
2014-02-07,-2.4375,61.58333333,32.375
2014-02-08,-4.1,59.58333333,49.3125
2014-02-09,-5.433333333,58.45833333,44.01666667
2014-02-10,-3.495833333,52.70833333,19.10833333
2014-02-11,-1.070833333,53.0,12.475
2014-02-12,-1.125,53.125,27.26666667
2014-02-13,-0.241666667,50.83333333,9.6875
2014-02-14,2.383333333,66.16666667,18.35833333
2014-02-15,3.25,77.625,18.5125
2014-02-16,1.620833333,60.375,33.55
2014-02-17,-0.7875,50.25,33.98333333
2014-02-18,-0.0125,51.66666667,15.1875
2014-02-19,-0.7,52.5,23.4625
2014-02-20,1.5125,63.58333333,14.05
2014-02-21,3.445833333,80.875,13.85833333
2014-02-22,2.375,86.70833333,6.933333333
2014-02-23,3.379166667,84.83333333,16.3625
2014-02-24,4.179166667,86.54166667,15.1125
2014-02-25,4.579166667,82.54166667,20.70416667
2014-02-26,3.8125,76.95833333,33.99166667
2014-02-27,1.016666667,46.79166667,29.89583333
2014-02-28,1.879166667,55.875,16.59583333
2014-03-01,2.166666667,61.91666667,12.8125
2014-03-02,3.6875,76.58333333,19.90833333
2014-03-03,4.4875,70.33333333,39.85833333
2014-03-04,1.820833333,60.0,23.77916667
2014-03-05,1.479166667,60.08333333,23.71666667
2014-03-06,0.979166667,48.25,16.15
2014-03-07,2.1875,69.66666667,19.2875
2014-03-08,1.595833333,75.20833333,24.77916667
2014-03-09,0.9,47.66666667,16.875
2014-03-10,5.1875,75.375,45.71666667
2014-03-11,4.366666667,70.33333333,31.70833333
2014-03-12,2.679166667,59.875,34.4125
2014-03-13,2.9625,66.83333333,17.36666667
2014-03-14,5.229166667,70.04166667,32.63333333
2014-03-15,5.7875,77.75,32.77083333
2014-03-16,8.1,79.0,44.0625
2014-03-17,5.154166667,75.5,39.48333333
2014-03-18,5.3125,68.125,25.4375
2014-03-19,5.091666667,60.66666667,44.5
2014-03-20,4.75,69.875,30.59583333
2014-03-21,6.320833333,73.41666667,34.05
2014-03-22,5.629166667,84.29166667,13.53333333
2014-03-23,6.429166667,83.16666667,26.775
2014-03-24,7.5,85.95833333,25.49583333
2014-03-25,5.6,97.41666667,14.72083333
2014-03-26,6.970833333,95.5,19.67083333
2014-03-27,9.479166667,71.625,42.87083333
2014-03-28,8.0125,90.91666667,32.94166667
2014-03-29,7.741666667,79.70833333,34.92083333
2014-03-30,7.041666667,85.29166667,15.0875
2014-03-31,8.075,76.16666667,31.0125
2014-04-01,8.891666667,72.41666667,32.825
2014-04-02,7.504166667,69.20833333,36.275
2014-04-03,6.1125,67.125,30.52916667
2014-04-04,5.9875,60.83333333,34.88333333
2014-04-05,6.2375,71.375,32.72916667
2014-04-06,8.525,68.125,41.10833333
2014-04-07,7.633333333,81.20833333,14.375
2014-04-08,8.816666667,77.25,29.00833333
2014-04-09,7.65,84.16666667,25.53333333
2014-04-10,7.608333333,77.875,7.583333333
2014-04-11,7.275,90.79166667,16.75
2014-04-12,7.758333333,94.83333333,11.88333333
2014-04-13,7.329166667,95.70833333,12.39166667
2014-04-14,10.55,82.79166667,30.55
2014-04-15,9.3375,84.04166667,6.9625
2014-04-16,9.579166667,86.45833333,19.85
2014-04-17,9.358333333,87.83333333,19.82916667
2014-04-18,10.0375,66.83333333,31.09166667
2014-04-19,8.658333333,86.41666667,13.0
2014-04-20,9.466666667,78.29166667,18.63333333
2014-04-21,10.82083333,81.20833333,23.78333333
2014-04-22,11.64583333,80.04166667,31.225
2014-04-23,12.72083333,65.41666667,40.74583333
2014-04-24,12.0875,72.70833333,36.33333333
2014-04-25,11.75416667,81.875,31.04583333
2014-04-26,10.88333333,91.54166667,35.44583333
2014-04-27,10.5875,88.0,27.77083333
2014-04-28,10.58333333,87.66666667,14.5625
2014-04-29,11.225,85.66666667,11.59583333
2014-04-30,13.0875,74.83333333,28.35833333
2014-05-01,13.32083333,77.45833333,45.46666667
2014-05-02,11.14166667,73.91666667,33.54166667
2014-05-03,11.75416667,60.16666667,52.30416667
2014-05-04,9.633333333,71.66666667,27.76666667
2014-05-05,10.6125,64.25,39.49166667
2014-05-06,12.675,71.54166667,36.37916667
2014-05-07,10.84166667,82.5,26.70416667
2014-05-08,11.00833333,81.29166667,16.30833333
2014-05-09,12.14583333,73.29166667,35.95
2014-05-10,12.4,84.66666667,45.93333333
2014-05-11,11.6,83.91666667,48.80416667
2014-05-12,14.52083333,65.75,45.95833333
2014-05-13,13.94166667,73.66666667,35.9875
2014-05-14,12.58333333,73.95833333,35.2125
2014-05-15,12.5375,76.33333333,21.175
2014-05-16,13.30833333,74.125,20.63333333
2014-05-17,14.46666667,76.54166667,15.075
2014-05-18,14.97083333,78.375,35.52916667
2014-05-19,14.82083333,85.04166667,29.35416667
2014-05-20,14.77083333,90.125,12.72083333
2014-05-21,16.10833333,84.45833333,18.54166667
2014-05-22,16.82083333,81.66666667,18.54583333
2014-05-23,17.26666667,75.58333333,39.71666667
2014-05-24,15.4375,89.95833333,21.99583333
2014-05-25,15.7125,73.875,40.94166667
2014-05-26,17.725,64.54166667,46.32916667
2014-05-27,16.8125,69.875,30.97916667
2014-05-28,18.82916667,62.04166667,42.17916667
2014-05-29,18.10833333,77.91666667,25.80416667
2014-05-30,17.375,87.33333333,26.99583333
2014-05-31,18.30833333,79.95833333,30.80416667
2014-06-01,17.27916667,78.875,25.275
2014-06-02,17.14166667,83.45833333,26.50416667
2014-06-03,17.45,89.58333333,16.57916667
2014-06-04,17.60833333,89.41666667,7.495833333
2014-06-05,18.95416667,88.75,11.39583333
2014-06-06,18.87916667,86.66666667,32.55
2014-06-07,17.2875,84.41666667,23.45
2014-06-08,18.4375,84.16666667,32.58333333
2014-06-09,17.67916667,91.29166667,21.71666667
2014-06-10,17.825,91.79166667,13.62083333
2014-06-11,18.75416667,86.16666667,23.02083333
2014-06-12,19.75,83.04166667,30.98333333
2014-06-13,19.93333333,79.5,21.85833333
2014-06-14,20.5,80.75,17.4375
2014-06-15,20.5375,88.16666667,19.79166667
2014-06-16,20.64166667,88.25,16.38333333
2014-06-17,20.5625,85.16666667,19.84583333
2014-06-18,20.77083333,88.25,16.875
2014-06-19,20.8375,91.375,12.57916667
2014-06-20,20.275,90.5,20.22083333
2014-06-21,20.17916667,92.95833333,7.425
