location_id,time,Temp (C),average humidity %,average wind speed
0,8/5/2013,26.57916667,91.45833333,16.54583333
0,8/6/2013,27.75833333,88.70833333,21.09166667
0,8/7/2013,27.6,88.04166667,23.35
0,8/8/2013,26.5625,90.45833333,21.71666667
0,8/9/2013,27.125,90.5,18.12916667
0,8/10/2013,27.55833333,91.375,19.45416667
0,8/11/2013,27.98333333,89.20833333,26.08333333
0,8/12/2013,27.49166667,89.45833333,22.56666667
0,8/13/2013,27.42916667,89.54166667,29.225
0,8/14/2013,27.59583333,90.08333333,27.5875
0,8/15/2013,27.82083333,89.04166667,35.07916667
0,8/16/2013,27.97916667,87,40.37083333
0,8/17/2013,26.94583333,81.25,29.89583333
0,8/18/2013,26.00416667,70.29166667,25.37083333
0,8/19/2013,26.09166667,71.95833333,18.62083333
0,8/20/2013,25.76666667,77.66666667,13.8
0,8/21/2013,25.86666667,80.25,12.825
0,8/22/2013,25.82916667,80.5,6.020833333
0,8/23/2013,26.40416667,78.70833333,11.62083333
0,8/24/2013,26.25833333,78.54166667,11.82916667
0,8/25/2013,26.38333333,78.91666667,8.883333333
0,8/26/2013,24.2625,70.25,17.56666667
0,8/27/2013,25.40416667,75.91666667,25.91666667
0,8/28/2013,24.99583333,87.41666667,32.3375
0,8/29/2013,21.76666667,70.54166667,39.9375
0,8/30/2013,22.74166667,54.375,29.69166667
0,8/31/2013,22.58333333,60.41666667,12.9875
0,9/1/2013,23.00416667,64.625,7.954166667
0,9/2/2013,22.35,62.33333333,7.4625
0,9/3/2013,21.92916667,58.95833333,20.78333333
0,9/4/2013,22.1375,62.45833333,12.6125
0,9/5/2013,22.15416667,75.45833333,21.3875
0,9/6/2013,22.04583333,75.95833333,6.995833333
0,9/7/2013,22.99166667,79,8.7125
0,9/8/2013,23.27083333,80.33333333,16.94583333
0,9/9/2013,22.63333333,76.95833333,10.15416667
0,9/10/2013,22.22083333,82.625,12.975
0,9/11/2013,22.59583333,83.875,12.14583333
0,9/12/2013,22.6875,83.70833333,26.3625
0,9/13/2013,23.1125,87,28.7625
0,9/14/2013,22.22083333,76.29166667,22.09166667
0,9/15/2013,22.37916667,55.08333333,15.84583333
0,9/16/2013,23.45,73.70833333,27.17083333
0,9/17/2013,23.36666667,80.875,14.83333333
0,9/18/2013,23.2875,80.70833333,24.24583333
0,9/19/2013,22.99166667,88.125,14.62916667
0,9/20/2013,23.03333333,88.58333333,10.325
0,9/21/2013,22.89166667,90.25,16.17916667
0,9/22/2013,22.8625,91.5,24.1125
0,9/23/2013,17.30416667,68.95833333,49.62916667
0,9/24/2013,18.65416667,44.91666667,38.11666667
0,9/25/2013,19.63333333,53.29166667,12.57083333
0,9/26/2013,20.58333333,66.125,24.58333333
